female,age,edu,income,region,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,52,4,4,Bizerte,strongly agree,strongly agree,strongly agree,1,6,2,NA,2,NA
0,32,8,6,Monastir,strongly agree,disagree,strongly agree,1,5,1,1,1,1
0,40,2,2,Tunis,agree,agree,agree,2,NA,2,NA,2,NA
0,29,5,3,Sousse,strongly agree,agree,strongly agree,98,NA,1,1,1,1
0,35,7,NA,Mahdia,strongly agree,agree,strongly agree,2,NA,1,99,1,99
0,39,8,NA,Tunis,NA,NA,neither agree nor disagree,2,NA,2,NA,2,NA
0,35,1,3,Sousse,strongly agree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
0,43,2,2,Nabeul,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,21,3,4,Kasserine,strongly disagree,NA,strongly agree,2,NA,2,NA,2,NA
0,61,2,1,Kasserine,strongly disagree,strongly agree,strongly disagree,1,99,1,99,1,1
0,39,4,NA,Ben Arous,agree,agree,neither agree nor disagree,1,99,1,99,1,99
0,34,3,3,Gabes,neither agree nor disagree,agree,strongly agree,2,NA,98,NA,1,1
0,30,7,3,Sousse,disagree,strongly agree,strongly agree,1,99,1,99,1,99
0,28,5,NA,Sfax,NA,NA,strongly agree,2,NA,2,NA,2,NA
0,26,8,3,Sousse,strongly disagree,strongly agree,strongly agree,1,96,1,1,1,1
0,33,3,5,Sfax,agree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
0,40,5,4,Kasserine,strongly agree,disagree,strongly agree,2,NA,1,1,1,1
0,23,4,3,Le Kef,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,35,6,3,Bizerte,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,50,4,3,Medenine,strongly agree,agree,strongly agree,1,5,1,8,1,1
0,52,2,3,Sfax,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,50,4,3,Sidi Bou Zid,strongly agree,agree,strongly agree,1,3,1,1,1,1
0,44,7,5,Manouba,agree,strongly disagree,strongly agree,2,NA,1,7,1,1
0,35,3,NA,Nabeul,strongly agree,strongly disagree,agree,1,1,1,1,1,1
0,32,3,4,Tunis,neither agree nor disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,54,5,4,Monastir,agree,agree,strongly agree,2,NA,2,NA,2,NA
0,28,4,8,Ariana,strongly disagree,strongly agree,strongly disagree,1,1,1,1,2,NA
0,45,4,3,Medenine,strongly agree,strongly disagree,strongly agree,1,98,1,1,1,1
0,52,4,3,Tunis,agree,strongly disagree,agree,2,NA,2,NA,2,NA
0,35,4,3,Beja,disagree,strongly disagree,agree,1,6,1,1,1,1
0,29,4,NA,Kairouan,strongly disagree,agree,strongly agree,2,NA,2,NA,2,NA
0,40,4,4,Siliana,strongly agree,disagree,disagree,2,NA,2,NA,2,NA
0,22,3,3,Medenine,strongly agree,strongly agree,strongly agree,1,99,1,1,2,NA
0,36,3,3,Tozeur,strongly agree,strongly agree,strongly disagree,1,3,98,NA,1,98
0,33,6,3,Sfax,strongly disagree,strongly agree,strongly agree,2,NA,1,1,1,1
0,25,4,5,Tunis,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
0,40,4,4,Ben Arous,strongly agree,disagree,agree,1,1,1,1,1,1
0,50,2,3,Tataouine,strongly agree,strongly agree,strongly agree,1,5,1,1,1,1
0,33,4,5,Ariana,strongly agree,strongly disagree,agree,2,NA,2,NA,2,NA
0,40,2,4,Tunis,strongly disagree,strongly disagree,strongly disagree,2,NA,1,1,98,NA
0,63,2,4,Beja,strongly agree,strongly disagree,strongly disagree,1,2,1,2,2,NA
0,23,6,2,Bizerte,strongly agree,strongly agree,strongly agree,1,5,1,1,1,1
0,38,6,3,Sfax,strongly agree,strongly agree,strongly agree,1,98,1,98,1,1
0,45,4,8,Sfax,strongly agree,strongly agree,strongly agree,1,7,1,1,1,1
0,18,4,3,Sidi Bou Zid,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
0,67,2,8,Bizerte,strongly disagree,strongly agree,strongly agree,1,1,2,NA,1,1
0,31,3,2,Zaghouan,strongly disagree,neither agree nor disagree,neither agree nor disagree,1,3,1,1,1,1
0,30,4,4,Le Kef,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
0,58,1,2,Bizerte,NA,strongly agree,NA,2,NA,2,NA,2,NA
0,27,4,3,Tunis,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,31,4,NA,Monastir,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,60,4,3,Monastir,disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,35,3,3,Nabeul,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,60,7,6,Tunis,strongly agree,strongly disagree,strongly agree,1,3,1,4,2,NA
0,39,2,2,Sidi Bou Zid,disagree,NA,strongly disagree,2,NA,2,NA,2,NA
0,32,7,4,Manouba,strongly agree,agree,strongly disagree,2,NA,1,1,2,NA
0,31,4,3,Sfax,strongly disagree,strongly agree,strongly disagree,1,99,1,1,1,1
0,33,2,8,Medenine,strongly agree,agree,strongly agree,1,7,1,2,1,2
0,40,4,3,Sfax,strongly agree,strongly agree,strongly agree,1,5,1,1,1,1
0,24,4,4,Bizerte,strongly agree,agree,strongly disagree,2,NA,2,NA,2,NA
0,24,6,3,Tunis,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,30,5,3,Sfax,agree,strongly agree,strongly agree,2,NA,2,NA,1,1
0,45,2,2,Nabeul,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,67,4,3,Sfax,strongly agree,disagree,strongly agree,1,99,1,1,1,1
0,37,5,8,Beja,strongly agree,agree,strongly agree,1,99,1,1,1,1
0,46,2,2,Tunis,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
0,47,4,3,Sfax,strongly disagree,strongly agree,strongly agree,1,1,1,1,1,1
0,33,7,8,Nabeul,strongly disagree,strongly disagree,strongly agree,2,NA,1,1,1,1
0,27,4,2,Siliana,agree,agree,strongly disagree,2,NA,2,NA,2,NA
0,26,3,3,Sfax,agree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
0,33,3,4,Nabeul,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,32,7,5,Nabeul,agree,agree,strongly agree,1,5,1,8,1,1
0,23,3,3,Gabes,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
0,24,3,4,Beja,neither agree nor disagree,strongly agree,strongly agree,1,1,2,NA,1,1
0,29,6,6,Sidi Bou Zid,strongly agree,strongly agree,strongly agree,1,96,1,1,1,1
0,39,4,3,Nabeul,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
0,23,4,4,Tunis,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,27,6,4,Medenine,agree,strongly agree,strongly agree,1,96,1,1,1,1
0,40,2,NA,Nabeul,strongly agree,strongly disagree,disagree,98,NA,1,98,1,98
0,25,4,3,Bizerte,disagree,strongly agree,disagree,2,NA,2,NA,2,NA
0,36,4,2,Jendouba,agree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
0,22,4,4,Gabes,agree,agree,strongly agree,2,NA,2,NA,2,NA
0,34,2,4,Tataouine,neither agree nor disagree,neither agree nor disagree,strongly agree,2,NA,2,NA,1,1
0,29,3,4,Jendouba,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,41,2,3,Gabes,strongly agree,strongly disagree,strongly disagree,1,2,1,1,2,NA
0,31,4,2,Ariana,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
0,40,2,2,Siliana,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
0,58,2,2,Manouba,strongly disagree,strongly agree,strongly disagree,1,1,1,1,1,1
0,29,4,7,Gabes,strongly agree,strongly disagree,strongly agree,1,2,1,1,1,1
0,34,4,3,Ariana,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,30,7,5,Jendouba,strongly agree,strongly disagree,strongly agree,1,3,1,10,1,2
0,37,4,5,Jendouba,strongly disagree,strongly disagree,strongly agree,2,NA,1,1,1,1
0,29,7,8,Manouba,strongly agree,disagree,strongly agree,2,NA,1,1,1,1
0,59,6,8,Manouba,agree,strongly disagree,agree,1,96,1,1,1,1
0,23,7,7,Manouba,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,30,6,4,Ariana,strongly disagree,strongly agree,strongly agree,1,99,1,99,1,99
0,30,4,3,Ariana,strongly agree,disagree,strongly agree,2,NA,2,NA,2,NA
0,28,4,6,Manouba,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,37,3,3,Bizerte,strongly agree,strongly agree,strongly agree,98,NA,1,1,98,NA
0,38,4,6,Gabes,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,51,5,5,Sidi Bou Zid,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,57,4,6,Gafsa,strongly agree,strongly disagree,strongly agree,1,99,1,1,1,1
0,33,5,6,Tunis,strongly disagree,disagree,strongly disagree,2,NA,2,NA,2,NA
0,50,8,7,Kasserine,agree,agree,agree,1,99,1,1,1,1
0,56,7,7,Nabeul,disagree,strongly agree,strongly agree,1,7,1,1,1,1
0,50,7,4,Gafsa,strongly agree,strongly agree,strongly agree,1,99,1,99,1,99
0,50,7,8,Sidi Bou Zid,strongly agree,strongly agree,agree,1,99,1,99,1,99
0,53,8,8,Sousse,strongly agree,strongly disagree,strongly agree,1,1,1,1,1,1
0,34,2,3,Sfax,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
0,45,2,4,Ariana,strongly disagree,strongly agree,strongly disagree,2,NA,1,1,1,1
0,37,5,NA,Manouba,strongly agree,strongly agree,strongly agree,2,NA,1,1,2,NA
0,52,7,4,Nabeul,strongly agree,strongly agree,strongly agree,1,4,1,1,1,1
0,42,8,8,Nabeul,disagree,strongly disagree,strongly agree,1,96,1,10,1,1
0,23,4,8,Monastir,disagree,agree,strongly disagree,2,NA,2,NA,2,NA
0,60,5,6,Beja,strongly disagree,agree,agree,1,99,1,98,98,NA
0,36,8,6,Ben Arous,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,44,4,4,Ben Arous,strongly agree,agree,strongly agree,2,NA,1,1,1,1
0,42,2,2,Zaghouan,disagree,strongly agree,strongly agree,2,NA,1,1,2,NA
0,42,7,4,Kebili,strongly agree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
0,56,4,3,Ariana,agree,strongly agree,strongly agree,1,2,1,2,1,1
0,57,3,4,Ariana,strongly agree,disagree,strongly agree,1,98,1,1,1,1
0,57,8,7,Monastir,strongly agree,agree,strongly agree,1,3,1,1,1,1
0,48,5,4,Jendouba,strongly agree,strongly agree,agree,1,4,1,1,1,1
0,31,6,7,Ben Arous,strongly agree,disagree,neither agree nor disagree,2,NA,2,NA,2,NA
0,40,2,4,Mahdia,strongly agree,strongly agree,strongly agree,1,99,1,1,1,1
0,35,4,5,Ben Arous,agree,disagree,strongly agree,2,NA,2,NA,2,NA
0,44,8,8,Bizerte,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
0,53,2,2,Sousse,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
0,52,5,7,Beja,strongly agree,strongly disagree,strongly agree,2,NA,1,1,1,1
0,52,4,3,Ben Arous,agree,agree,agree,1,3,1,1,1,1
0,60,2,2,Manouba,agree,agree,strongly disagree,1,97,1,1,1,1
0,32,8,4,Sousse,strongly agree,strongly agree,strongly agree,1,98,1,1,1,1
0,58,4,3,Bizerte,strongly disagree,strongly disagree,agree,1,3,1,1,1,1
0,49,5,4,Ben Arous,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,38,4,4,Bizerte,NA,NA,NA,2,NA,2,NA,2,NA
0,52,7,5,Kasserine,strongly agree,strongly agree,strongly agree,1,99,1,7,1,1
0,33,4,5,Tunis,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,2,NA,2,NA,2,NA
0,40,3,NA,Ben Arous,strongly disagree,agree,strongly disagree,2,NA,1,11,1,1
0,41,4,4,Ben Arous,strongly agree,strongly agree,strongly agree,1,99,1,99,1,99
0,54,5,4,Ariana,agree,agree,agree,2,NA,2,NA,2,NA
0,26,4,4,Nabeul,strongly agree,disagree,strongly agree,2,NA,2,NA,2,NA
0,40,4,NA,Ariana,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,52,6,4,Sousse,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
0,35,3,2,Sfax,strongly disagree,strongly agree,strongly agree,1,99,2,NA,1,1
0,49,6,5,Gafsa,agree,strongly disagree,strongly disagree,2,NA,2,NA,1,99
0,53,7,5,Sfax,strongly disagree,strongly disagree,strongly agree,2,NA,1,1,1,1
0,30,5,3,Gafsa,strongly disagree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
0,45,5,5,Kasserine,agree,agree,strongly agree,1,96,1,96,1,1
0,56,4,4,Kairouan,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
0,41,4,2,Manouba,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,51,3,4,Tunis,strongly disagree,strongly agree,strongly disagree,98,NA,2,NA,2,NA
0,50,7,5,Monastir,agree,strongly disagree,strongly agree,1,96,1,1,1,1
0,36,7,3,Zaghouan,strongly agree,strongly agree,NA,2,NA,2,NA,2,NA
0,36,6,4,Tunis,strongly disagree,disagree,agree,2,NA,1,1,1,1
0,38,7,4,Mahdia,strongly agree,strongly agree,strongly agree,1,4,1,11,1,1
0,53,7,6,Tozeur,strongly agree,strongly agree,agree,1,99,1,96,1,1
0,23,3,4,Tunis,strongly agree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
0,47,7,7,Sfax,agree,agree,strongly agree,1,1,2,NA,1,1
0,47,4,3,Medenine,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
0,50,4,8,Bizerte,strongly disagree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
0,39,7,7,Tunis,disagree,agree,strongly agree,2,NA,1,1,1,1
0,47,6,6,Le Kef,strongly agree,strongly agree,strongly disagree,1,98,1,1,1,1
0,56,4,3,Tunis,strongly agree,strongly agree,strongly agree,1,3,1,9,1,1
0,52,5,7,Beja,strongly agree,agree,strongly agree,1,4,1,1,1,1
0,35,4,4,Bizerte,strongly disagree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
0,45,2,3,Manouba,strongly agree,agree,agree,1,1,1,1,1,1
0,33,4,3,Beja,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,50,4,5,Tunis,strongly agree,strongly agree,strongly agree,1,2,1,1,1,1
0,35,4,3,Kasserine,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,44,7,4,Kairouan,strongly agree,disagree,strongly agree,2,NA,1,1,1,1
0,51,4,7,Tunis,NA,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,53,4,4,Jendouba,strongly agree,strongly agree,agree,2,NA,2,NA,2,NA
0,53,4,4,Bizerte,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
0,29,4,3,Bizerte,agree,agree,strongly agree,1,98,2,NA,2,NA
0,34,3,2,Kasserine,strongly agree,strongly agree,strongly agree,2,NA,2,NA,1,1
0,19,3,3,Zaghouan,agree,strongly agree,agree,2,NA,2,NA,2,NA
0,28,4,5,Manouba,strongly agree,disagree,strongly agree,2,NA,2,NA,2,NA
0,37,7,2,Ariana,agree,strongly agree,strongly agree,2,NA,1,99,2,NA
1,71,4,5,Ben Arous,strongly agree,agree,strongly agree,1,3,1,9,1,2
1,NA,5,8,Monastir,strongly agree,strongly agree,strongly agree,1,98,1,98,1,1
1,62,4,2,Manouba,strongly agree,strongly agree,strongly agree,1,4,1,1,1,1
1,70,5,7,Tunis,strongly disagree,agree,strongly agree,1,2,1,2,1,2
1,66,4,3,Siliana,agree,strongly agree,strongly agree,1,6,1,1,1,1
1,62,2,3,Sfax,strongly disagree,neither agree nor disagree,disagree,2,NA,2,NA,2,NA
1,70,4,NA,Le Kef,strongly disagree,strongly agree,strongly agree,2,NA,98,NA,98,NA
1,53,6,3,Monastir,strongly disagree,strongly agree,strongly disagree,1,1,1,1,1,1
1,63,7,5,Tunis,strongly agree,strongly disagree,strongly agree,1,3,1,97,1,97
1,58,2,2,Nabeul,strongly disagree,agree,strongly agree,2,NA,1,1,2,NA
1,73,4,3,Sfax,strongly disagree,agree,strongly agree,2,NA,2,NA,2,NA
1,60,1,3,Nabeul,neither agree nor disagree,strongly disagree,strongly disagree,2,NA,1,1,2,NA
1,70,4,4,Nabeul,strongly agree,agree,agree,1,2,1,1,1,1
1,64,4,4,Medenine,strongly agree,strongly agree,strongly agree,1,1,2,NA,2,NA
1,69,5,4,Medenine,strongly disagree,strongly disagree,strongly agree,1,2,1,96,1,2
1,42,4,3,Gafsa,strongly disagree,strongly agree,strongly disagree,1,98,1,2,1,1
1,57,1,NA,Gafsa,strongly disagree,strongly agree,strongly agree,1,98,1,1,2,NA
1,42,4,2,Ariana,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,23,3,3,Monastir,disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,37,5,4,Nabeul,strongly agree,strongly agree,neither agree nor disagree,2,NA,2,NA,2,NA
1,33,4,2,Gabes,strongly disagree,strongly agree,disagree,1,98,98,NA,1,1
1,31,7,3,Ariana,strongly agree,agree,strongly agree,1,7,1,2,1,2
1,70,1,2,Medenine,strongly disagree,agree,disagree,1,7,2,NA,2,NA
1,56,4,3,Tunis,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
1,39,7,3,Tunis,agree,agree,agree,2,NA,1,99,2,NA
1,60,1,2,Siliana,strongly agree,strongly agree,strongly agree,98,NA,1,1,2,NA
1,36,3,3,Manouba,agree,strongly disagree,strongly agree,1,1,1,1,2,NA
1,25,5,7,Sousse,strongly agree,strongly agree,strongly agree,1,98,1,1,1,1
1,32,8,5,Nabeul,strongly agree,strongly disagree,agree,1,99,1,99,1,99
1,68,3,5,Tunis,disagree,strongly disagree,strongly disagree,98,NA,1,1,1,1
1,44,4,NA,Jendouba,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,30,7,4,Tataouine,strongly disagree,agree,strongly agree,1,96,1,1,1,1
1,25,8,NA,Tunis,neither agree nor disagree,agree,strongly agree,2,NA,2,NA,2,NA
1,22,4,3,Ariana,strongly disagree,disagree,strongly agree,2,NA,1,1,1,1
1,35,4,3,Nabeul,strongly agree,strongly agree,strongly agree,1,99,1,1,2,NA
1,56,2,2,Beja,agree,strongly agree,strongly agree,2,NA,1,1,2,NA
1,42,7,4,Nabeul,agree,strongly disagree,strongly agree,1,98,1,1,98,NA
1,45,4,4,Ariana,strongly disagree,strongly agree,strongly disagree,1,1,1,1,1,1
1,61,1,NA,Kasserine,neither agree nor disagree,neither agree nor disagree,strongly disagree,2,NA,2,NA,2,NA
1,22,2,NA,Kasserine,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,75,1,2,Bizerte,neither agree nor disagree,strongly agree,NA,98,NA,1,98,1,1
1,38,2,2,Sfax,agree,agree,strongly disagree,2,NA,2,NA,2,NA
1,49,2,NA,Sfax,strongly disagree,strongly agree,strongly agree,2,NA,1,1,98,NA
1,63,2,2,Jendouba,strongly disagree,strongly disagree,strongly disagree,2,NA,1,1,2,NA
1,57,5,4,Ben Arous,neither agree nor disagree,strongly agree,strongly agree,1,3,1,9,2,NA
1,32,3,4,Tunis,strongly agree,strongly agree,strongly agree,1,3,1,99,1,99
1,40,3,1,Kebili,strongly disagree,strongly agree,agree,1,97,1,1,2,NA
1,33,8,3,Tunis,strongly agree,agree,strongly agree,1,1,1,1,1,1
1,51,2,2,Sfax,neither agree nor disagree,disagree,strongly agree,1,6,2,NA,1,1
1,70,1,2,Le Kef,NA,strongly agree,NA,2,NA,1,98,2,NA
1,56,2,3,Gabes,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
1,42,2,2,Mahdia,strongly agree,strongly agree,strongly agree,1,1,1,9,1,1
1,27,2,3,Bizerte,NA,NA,NA,2,NA,2,NA,2,NA
1,40,4,3,Nabeul,neither agree nor disagree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
1,61,2,3,Sousse,strongly disagree,agree,strongly disagree,2,NA,1,2,2,NA
1,62,4,2,Bizerte,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,65,4,4,Sfax,disagree,disagree,disagree,1,98,1,1,1,1
1,52,2,2,Sfax,strongly disagree,strongly agree,agree,2,NA,1,1,1,1
1,25,4,2,Beja,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,19,4,5,Tunis,disagree,agree,strongly agree,2,NA,2,NA,2,NA
1,48,5,8,Ben Arous,strongly agree,strongly agree,strongly agree,1,6,1,1,1,1
1,39,4,2,Kebili,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,42,6,3,Bizerte,NA,strongly agree,agree,2,NA,2,NA,2,NA
1,44,2,2,Zaghouan,strongly agree,agree,strongly agree,1,3,1,98,1,1
1,43,2,3,Ariana,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
1,50,4,2,Ben Arous,agree,strongly disagree,agree,2,NA,2,NA,2,NA
1,49,2,2,Bizerte,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,36,4,NA,Bizerte,strongly agree,disagree,strongly agree,2,NA,1,1,1,1
1,24,3,2,Bizerte,agree,disagree,strongly agree,2,NA,2,NA,2,NA
1,50,1,2,Ariana,NA,strongly disagree,NA,1,1,1,1,1,1
1,70,4,5,Gabes,disagree,strongly agree,strongly agree,1,1,1,1,1,1
1,43,6,3,Tozeur,agree,strongly agree,strongly agree,1,1,1,1,1,1
1,35,4,3,Gabes,strongly agree,neither agree nor disagree,strongly agree,2,NA,1,1,2,NA
1,42,2,2,Kasserine,strongly agree,strongly disagree,disagree,2,NA,2,NA,2,NA
1,29,3,2,Medenine,strongly agree,neither agree nor disagree,disagree,2,NA,2,NA,2,NA
1,33,4,3,Gafsa,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,27,7,4,Kasserine,strongly agree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
1,38,7,4,Sidi Bou Zid,strongly agree,neither agree nor disagree,strongly agree,2,NA,2,NA,1,1
1,55,4,5,Bizerte,strongly agree,strongly agree,strongly disagree,2,NA,1,1,1,1
1,70,4,NA,Sfax,agree,agree,disagree,1,4,1,1,1,1
1,38,4,3,Sidi Bou Zid,strongly agree,strongly agree,strongly agree,1,98,2,NA,1,1
1,45,4,3,Monastir,strongly agree,agree,strongly agree,2,NA,2,NA,1,99
1,33,4,3,Nabeul,agree,agree,strongly agree,1,2,1,1,1,1
1,53,2,2,Ben Arous,agree,agree,agree,1,2,1,1,1,1
1,50,4,3,Ben Arous,strongly agree,strongly agree,strongly agree,1,1,2,NA,1,1
1,35,1,2,Kairouan,NA,NA,NA,2,NA,98,NA,98,NA
1,71,2,NA,Nabeul,neither agree nor disagree,agree,neither agree nor disagree,2,NA,2,NA,2,NA
1,56,4,2,Sfax,strongly agree,strongly agree,strongly agree,1,4,1,1,1,1
1,50,4,3,Sfax,strongly agree,agree,agree,2,NA,2,NA,2,NA
1,41,2,5,Tataouine,strongly agree,agree,strongly disagree,2,NA,2,NA,2,NA
1,36,4,3,Nabeul,strongly agree,disagree,strongly agree,2,NA,1,2,1,2
1,48,1,2,Beja,strongly disagree,disagree,neither agree nor disagree,2,NA,2,NA,1,1
1,38,2,3,Sousse,disagree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
1,60,2,4,Ben Arous,strongly disagree,strongly agree,strongly agree,2,NA,1,11,2,NA
1,40,8,7,Gafsa,agree,agree,strongly agree,1,99,1,99,1,99
1,40,3,3,Manouba,strongly agree,strongly agree,strongly agree,1,96,1,1,1,1
1,39,1,1,Kasserine,neither agree nor disagree,disagree,agree,2,NA,2,NA,2,NA
1,72,2,1,Bizerte,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,61,5,3,Bizerte,agree,NA,strongly agree,2,NA,2,NA,2,NA
1,26,4,3,Gafsa,strongly agree,strongly disagree,strongly agree,1,1,1,1,1,1
1,56,2,NA,Ben Arous,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
1,36,4,3,Kairouan,strongly agree,strongly disagree,strongly agree,1,97,1,1,1,1
1,28,1,2,Jendouba,agree,agree,agree,2,NA,2,NA,2,NA
1,39,3,NA,Mahdia,neither agree nor disagree,agree,strongly agree,98,NA,2,NA,2,NA
1,50,3,3,Kairouan,strongly agree,NA,strongly agree,1,98,1,1,98,NA
1,61,3,3,Gafsa,strongly agree,neither agree nor disagree,strongly agree,1,96,1,11,1,1
1,70,2,3,Gafsa,strongly disagree,strongly agree,strongly agree,1,3,1,2,1,2
1,58,4,2,Manouba,strongly agree,strongly agree,strongly agree,2,NA,1,1,2,NA
1,32,4,3,Mahdia,strongly disagree,agree,strongly agree,1,98,1,7,2,NA
1,66,1,NA,Ariana,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,43,4,4,Ben Arous,strongly agree,agree,strongly agree,1,1,1,1,1,1
1,35,4,NA,Gabes,NA,agree,strongly disagree,1,98,1,1,1,1
1,63,1,2,Tunis,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,46,3,2,Sfax,strongly agree,strongly agree,agree,2,NA,2,NA,2,NA
1,40,5,3,Tataouine,strongly agree,strongly agree,strongly agree,1,97,1,1,1,1
1,45,4,3,Sfax,strongly agree,strongly agree,strongly agree,1,6,1,1,1,1
1,58,2,2,Manouba,strongly disagree,strongly agree,strongly agree,2,NA,1,1,1,1
1,52,2,NA,Tunis,strongly disagree,strongly agree,strongly disagree,1,1,1,3,1,1
1,34,1,8,Kairouan,agree,agree,agree,2,NA,2,NA,2,NA
1,41,2,2,Sfax,agree,agree,strongly disagree,2,NA,2,NA,2,NA
1,45,4,NA,Medenine,strongly agree,strongly disagree,strongly agree,2,NA,1,2,2,NA
1,43,2,3,Bizerte,strongly disagree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
1,22,3,2,Medenine,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
1,35,4,3,Kairouan,strongly agree,agree,agree,1,3,1,1,1,1
1,31,4,3,Manouba,agree,strongly agree,strongly agree,1,3,1,1,1,1
1,36,3,3,Medenine,neither agree nor disagree,agree,strongly agree,1,7,2,NA,1,1
1,37,2,2,Kasserine,strongly disagree,strongly agree,strongly agree,1,2,1,2,1,1
1,38,5,3,Kebili,strongly agree,agree,strongly agree,1,6,1,1,1,1
1,63,2,3,Gafsa,strongly disagree,strongly agree,strongly agree,1,3,1,1,1,1
1,26,4,3,Ben Arous,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
1,39,6,3,Medenine,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
1,25,4,2,Tunis,disagree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
1,66,4,2,Sfax,agree,strongly agree,strongly agree,1,1,1,1,1,1
1,27,3,4,Sousse,strongly agree,agree,strongly agree,2,NA,1,1,1,1
1,58,2,NA,Mahdia,strongly agree,agree,agree,1,2,1,1,1,1
1,67,4,2,Gabes,strongly agree,strongly agree,agree,2,NA,1,6,1,1
1,44,2,3,Gabes,agree,strongly agree,strongly agree,1,7,1,1,1,1
1,60,1,4,Gabes,NA,strongly disagree,strongly agree,2,NA,1,11,2,NA
